TA,Key,Indication
Immunology,Lung Transplant Rejection,Lung Transplant Rejection
Metabolic Disorders,Hypoalbuminemia,Hypoalbuminemia
Metabolic Disorders,Mixed Dyslipidemia,Mixed Dyslipidemia
Metabolic Disorders,Acquired Generalized Lipodystrophy,Acquired Generalized Lipodystrophy
Metabolic Disorders,Non-Proliferative Diabetic Retinopathy,Non-Proliferative Diabetic Retinopathy
Metabolic Disorders,Familial Amyloid Neuropathies,Familial Amyloid Neuropathies
Metabolic Disorders,Carnitine Deficiency,Carnitine Deficiency
Metabolic Disorders,Hypertriglyceridemia,Hypertriglyceridemia
Metabolic Disorders,Amyloidosis,Amyloidosis
Metabolic Disorders,Hypoglycemia,Hypoglycemia
Metabolic Disorders,Diabetes,Diabetes
Musculoskeletal Disorders,Systemic Idiopathic Juvenile Arthritis,Systemic Idiopathic Juvenile Arthritis
Non Malignant Disorders,Infantile Hemangiomas,Infantile Hemangiomas
Mouth and Dental Disorders,Glossitis,Glossitis
Mouth and Dental Disorders,Sialorrhoea,Sialorrhoea
Non Malignant Disorders,Hemangiomas,Hemangiomas
Oncology,Myeloproliferative Disorders,Myeloproliferative Disorders
Oncology,Adult Malignant Glioma,Adult Malignant Glioma
Oncology,Duodenal Cancer,Duodenal Cancer
Oncology,Rectal Cancer,Rectal Cancer
Oncology,Colon Carcinoma,Colon Carcinoma
Women's Health,Disorders of the Breast,Disorders of the Breast
Women's Health,Post Menopausal Mood Disorder,Post Menopausal Mood Disorder
Women's Health,Post Menopausal Disorder,Post Menopausal Disorder
Women's Health,Hyperemesis Gravidarum,Hyperemesis Gravidarum
Respiratory,Upper Respiratory Tract Disorders,Upper Respiratory Tract Disorders
Respiratory,Acute Respiratory Distress Syndrome,Acute Respiratory Distress Syndrome
Respiratory,Wheezing,Wheezing
Ophthalmology,Congenital Glaucoma,Congenital Glaucoma
Oncology,Pediatric Cancer,Pediatric Cancer
Oncology,Peritoneal Cancer,Peritoneal Cancer
Nutritional Disorders,Avitaminosis,Avitaminosis
Oncology,Lung Cancer,Lung Cancer
Oncology,Hormone Refractory Breast Cancer,Hormone Refractory Breast Cancer
Oncology,Metastatic Brain Tumor,Metastatic Brain Tumor
Non Malignant Disorders,Adenomas,Adenomas
Musculoskeletal Disorders,Acute Torticollis,Acute Torticollis
Non Malignant Disorders,Precancerous Condition,Precancerous Condition
Musculoskeletal Disorders,Spondyloarthritis,Spondyloarthritis
Musculoskeletal Disorders,Bone Degeneration,Bone Degeneration
Musculoskeletal Disorders,Epicondylitis,Epicondylitis
Metabolic Disorders,Acquired Partial Lipodystrophy,Acquired Partial Lipodystrophy
Metabolic Disorders,Familial Mediterranean Fever,Familial Mediterranean Fever
Metabolic Disorders,Methylmalonic Acidemia,Methylmalonic Acidemia
Metabolic Disorders,Diabetic Ketoacidosis,Diabetic Ketoacidosis
Metabolic Disorders,Diabetic Retinopathy,Diabetic Retinopathy
Male Health,Male Infertility,Male Infertility
Infectious Disease,Listeriosis,Listeriosis
Infectious Disease,Blastomyces dermatitidis Infections,Blastomyces dermatitidis Infections
Infectious Disease,Hospital Acquired Methicillin-Resistant Staphylococcus aureus Infections,Hospital Acquired Methicillin-Resistant Staphylococcus aureus Infections
Infectious Disease,Moraxella Catarrhalis Infection,Moraxella Catarrhalis Infection
Immunology,Serum Sickness,Serum Sickness
Hormonal Disorders,Pituitary Gland Disorders,Pituitary Gland Disorders
Hematological Disorders,Pernicious Anemia,Pernicious Anemia
Hematological Disorders,Lymphedema,Lymphedema
Genito Urinary System And Sex Hormones,Nephropathy,Nephropathy
Genito Urinary System And Sex Hormones,Microalbuminuria,Microalbuminuria
Genito Urinary System And Sex Hormones,Membranous Glomerulonephritis,Membranous Glomerulonephritis
Genetic Disorders,Familial Adenomatous Polyposis,Familial Adenomatous Polyposis
Gastrointestinal,Colonic Diverticulitis,Colonic Diverticulitis
Gastrointestinal,Celiac Disease,Celiac Disease
Ear Nose Throat Disorders,Hoarseness,Hoarseness
Ear Nose Throat Disorders,Acute Laryngitis,Acute Laryngitis
Ear Nose Throat Disorders,Non Allergic Rhinitis,Non Allergic Rhinitis
Ear Nose Throat Disorders,Ear Infections,Ear Infections
Ear Nose Throat Disorders,Mastoiditis,Mastoiditis
Ear Nose Throat Disorders,Chronic Tonsillitis,Chronic Tonsillitis
Ear Nose Throat Disorders,Throat Infection,Throat Infection
Dermatology,Fever Blisters,Fever Blisters
Dermatology,Xerosis,Xerosis
Dermatology,Periorificial Lentiginosis,Periorificial Lentiginosis
Dermatology,Hyper Pigmentation,Hyper Pigmentation
Dermatology,Melasma,Melasma
Dermatology,Varicose Ulcers,Varicose Ulcers
Central Nervous System,Frontotemporal Dementia with Parkinsonism-17,Frontotemporal Dementia with Parkinsonism-17
Central Nervous System,Cognitive Impairment,Cognitive Impairment
Central Nervous System,Brain Hemorrhage,Brain Hemorrhage
Central Nervous System,Vertebral Fracture Pain,Vertebral Fracture Pain
Central Nervous System,Hyperkinesia,Hyperkinesia
Central Nervous System,Chronic Cerebrospinal Venous Insufficiency,Chronic Cerebrospinal Venous Insufficiency
Central Nervous System,Tremor,Tremor
Central Nervous System,Hypersomnia,Hypersomnia
Central Nervous System,Anencephaly,Anencephaly
Central Nervous System,Autoimmune Encephalitis,Autoimmune Encephalitis
Cardiovascular,Atrial Tachycardia,Atrial Tachycardia
Cardiovascular,Vaso-Occlusive Crisis Associated With Sickle Cell Disease,Vaso-Occlusive Crisis Associated With Sickle Cell Disease
Central Nervous System,Subacute Sclerosing Panencephalitis,Subacute Sclerosing Panencephalitis
Gastrointestinal,Liver Diseases,Liver Diseases
Genetic Disorders,Ornithine Translocase Deficiency,Ornithine Translocase Deficiency
Genito Urinary System And Sex Hormones,Bartter Syndrome,Bartter Syndrome
Infectious Disease,Ventilator Associated Pneumonia,Ventilator Associated Pneumonia
Infectious Disease,Haemophilus influenzae Type A Infections,Haemophilus influenzae Type A Infections
Male Health,Pollakiuria,Pollakiuria
Nutritional Disorders,Rickets,Rickets
Toxicology,Radiation Toxicity,Radiation Toxicity
Women's Health,Recurrent Abortion,Recurrent Abortion
Ophthalmology,Keratoconjunctivitis,Keratoconjunctivitis
Cardiovascular,Hypovolemic Shock,Hypovolemic Shock
Genito Urinary System And Sex Hormones,End-Stage Kidney Disease,End-Stage Kidney Disease
Infectious Disease,Amoebic Infections,Amoebic Infections
Infectious Disease,Cytomegalovirus Encephalitis,Cytomegalovirus Encephalitis
Infectious Disease,Unspecified Bacterial Infections,Unspecified Bacterial Infections
Metabolic Disorders,Phenylketonuria,Phenylketonuria
Musculoskeletal Disorders,Oligoarticular Idiopathic Juvenile Arthritis,Oligoarticular Idiopathic Juvenile Arthritis
Musculoskeletal Disorders,Muscular Dystrophy,Muscular Dystrophy
Ophthalmology,Viral Keratitis,Viral Keratitis
Oncology,Nonseminomatous Testicular Cancer,Nonseminomatous Testicular Cancer
Respiratory,Apnea,Apnea
Immunology,Oligoarticular Juvenile Rheumatoid Arthritis,Oligoarticular Juvenile Rheumatoid Arthritis
Central Nervous System,Neuromyelitis Optica,Neuromyelitis Optica
Cardiovascular,Renal Hypertension,Renal Hypertension
Immunology,Stem Cell Transplantation,Stem Cell Transplantation
Central Nervous System,Demyelinating Diseases,Demyelinating Diseases
Genetic Disorders,Mevalonate Kinase Deficiency,Mevalonate Kinase Deficiency
Central Nervous System,Pseudobulbar Affect,Pseudobulbar Affect
Musculoskeletal Disorders,Bone Disorders,Bone Disorders
Gastrointestinal,Barretts Esophagus,Barretts Esophagus
Metabolic Disorders,Organic Acidemia,Organic Acidemia
Oncology,Squamous Non-Small Cell Lung Carcinoma,Squamous Non-Small Cell Lung Carcinoma
Cardiovascular,Pericarditis,Pericarditis
Cardiovascular,Systolic Heart Failure,Systolic Heart Failure
Cardiovascular,Coronary Vasospasm,Coronary Vasospasm
Cardiovascular,Myocardial Ischemia,Myocardial Ischemia
Cardiovascular,Cerebrovascular Disease,Cerebrovascular Disease
Cardiovascular,Familial Pulmonary Hypertension,Familial Pulmonary Hypertension
Cardiovascular,Hypodynamic Shock,Hypodynamic Shock
Central Nervous System,Meningoencephalitis,Meningoencephalitis
Central Nervous System,Phonological Dyslexia,Phonological Dyslexia
Central Nervous System,Carpal Tunnel Syndrome,Carpal Tunnel Syndrome
Central Nervous System,Ataxia,Ataxia
Central Nervous System,Visual Dyslexia,Visual Dyslexia
Central Nervous System,Acute Spinal Cord Injury,Acute Spinal Cord Injury
Central Nervous System,Post-Traumatic Stress Disorder,Post-Traumatic Stress Disorder
Central Nervous System,Tourette Syndrome,Tourette Syndrome
Dermatology,Keloids,Keloids
Dermatology,Prurigo,Prurigo
Dermatology,Uremic Pruritus,Uremic Pruritus
Dermatology,Skin Inflammation,Skin Inflammation
Ear Nose Throat Disorders,Acute Nasopharyngitis,Acute Nasopharyngitis
Gastrointestinal,Liver Fibrosis,Liver Fibrosis
Gastrointestinal,Ileus,Ileus
Genito Urinary System And Sex Hormones,Hemorrhagic Cystitis,Hemorrhagic Cystitis
Hematological Disorders,Hemophilia C,Hemophilia C
Genetic Disorders,Artemis Deficiency,Artemis Deficiency
Infectious Disease,Erythema Chronicum Migrans,Erythema Chronicum Migrans
Infectious Disease,Leptospirosis,Leptospirosis
Infectious Disease,Trypanosomiasis,Trypanosomiasis
Infectious Disease,Tinea Barbae,Tinea Barbae
Infectious Disease,Cryptococcosis,Cryptococcosis
Infectious Disease,Pneumococcal Meningitis,Pneumococcal Meningitis
Metabolic Disorders,Diabetic Myonecrosis,Diabetic Myonecrosis
Metabolic Disorders,Gestational Diabetes,Gestational Diabetes
Metabolic Disorders,Diabetic Complications,Diabetic Complications
Metabolic Disorders,Metabolic Acidosis,Metabolic Acidosis
Metabolic Disorders,Secondary Carnitine Deficiency,Secondary Carnitine Deficiency
Oncology,Testicular Cancer,Testicular Cancer
Non Malignant Disorders,Fibroids And Abnormal Uterine Bleeding,Fibroids And Abnormal Uterine Bleeding
Oncology,Islet Cell Carcinoma,Islet Cell Carcinoma
Ophthalmology,Intra-Operative Mydriasis,Intra-Operative Mydriasis
Respiratory,Sleep Apnea,Sleep Apnea
Respiratory,Lung Infections,Lung Infections
Respiratory,Chronic Respiratory Failure,Chronic Respiratory Failure
Respiratory,Upper Respiratory Tract Infections by Streptococcus Pyogenes,Upper Respiratory Tract Infections by Streptococcus Pyogenes
Respiratory,Lung Disease,Lung Disease
Respiratory,Unspecified Respiratory Disorders,Unspecified Respiratory Disorders
Toxicology,Heavy Metal Poisoning,Heavy Metal Poisoning
Women's Health,Premenopausal Amenorrhea,Premenopausal Amenorrhea
Cardiovascular,Raynauds Disease,Raynauds Disease
Cardiovascular,Septic Shock,Septic Shock
Central Nervous System,Treatment Resistant Depression,Treatment Resistant Depression
Central Nervous System,Encephalomyelitis,Encephalomyelitis
Central Nervous System,Drug-Induced Dyskinesia,Drug-Induced Dyskinesia
Central Nervous System,Multiple System Atrophy,Multiple System Atrophy
Central Nervous System,Febrile Seizures,Febrile Seizures
Central Nervous System,Intracranial Hypertension,Intracranial Hypertension
Central Nervous System,Toxic Headache,Toxic Headache
Dermatology,Stevens-Johnson Syndrome,Stevens-Johnson Syndrome
Dermatology,Acute Inflammatory Skin Disease,Acute Inflammatory Skin Disease
Dermatology,Pyoderma Gangrenosum,Pyoderma Gangrenosum
Gastrointestinal,Jaundice,Jaundice
Gastrointestinal,Esophageal Diseases,Esophageal Diseases
Infectious Disease,Burkholderia pseudomallei Infections,Burkholderia pseudomallei Infections
Infectious Disease,Urogenital Infections During Pregnancy,Urogenital Infections During Pregnancy
Infectious Disease,Nocardia Infections,Nocardia Infections
Infectious Disease,Actinomyces Infections,Actinomyces Infections
Infectious Disease,Parasitic Intestinal Diseases,Parasitic Intestinal Diseases
Male Health,Oligozoospermia,Oligozoospermia
Metabolic Disorders,Diabetic Angiopathies,Diabetic Angiopathies
Metabolic Disorders,Cushing's Syndrome,Cushing's Syndrome
Male Health,Male Sexual Dysfunction,Male Sexual Dysfunction
Oncology,Childhood Rhabdomyosarcoma,Childhood Rhabdomyosarcoma
Oncology,Gallbladder Cancer,Gallbladder Cancer
Nutritional Disorders,Nutritional Rickets,Nutritional Rickets
Oncology,Juvenile Myelomonocytic Leukemia,Juvenile Myelomonocytic Leukemia
Women's Health,Post Partum Depression,Post Partum Depression
Ophthalmology,Scleritis,Scleritis
Ophthalmology,Arteriosclerotic Retinopathy,Arteriosclerotic Retinopathy
Respiratory,Adult Respiratory Distress Syndrome,Adult Respiratory Distress Syndrome
Respiratory,Pulmonary Fibrosis,Pulmonary Fibrosis
Respiratory,Seasonal Allergic Asthma,Seasonal Allergic Asthma
Therapy Area,Indication,Indication
Infectious Disease,Neurocysticercosis,Neurocysticercosis
Central Nervous System,Body Dysmorphic Disorder,Body Dysmorphic Disorder
Central Nervous System,Psychotic Major Depression,Psychotic Major Depression
Central Nervous System,Neonatal Seizures,Neonatal Seizures
Central Nervous System,Barbiturate Sedation,Barbiturate Sedation
Central Nervous System,Movement Disorders,Movement Disorders
Genito Urinary System And Sex Hormones,Unspecified Genito Urinary Disorders,Unspecified Genito Urinary Disorders
Ear Nose Throat Disorders,Chronic Laryngitis,Chronic Laryngitis
Genito Urinary System And Sex Hormones,Genital Ulcers,Genital Ulcers
Gastrointestinal,Unspecified Gastrointestinal Disorders,Unspecified Gastrointestinal Disorders
Gastrointestinal,Dysphagia,Dysphagia
Immunology,Sarcoidosis,Sarcoidosis
Metabolic Disorders,Diabetic Ischemic Foot Ulcers,Diabetic Ischemic Foot Ulcers
Metabolic Disorders,Lipid Disorders,Lipid Disorders
Oncology,Non-Small Cell Lung Carcinoma,Non-Small Cell Lung Carcinoma
Ophthalmology,Non-Arteritic Anterior Ischemic Optic Neuropathy,Non-Arteritic Anterior Ischemic Optic Neuropathy
Respiratory,Respiratory Distress Syndrome,Respiratory Distress Syndrome
Respiratory,Atelectasis,Atelectasis
Respiratory,Lower Respiratory Tract Infections by Klebsiella Pneumoniae,Lower Respiratory Tract Infections by Klebsiella Pneumoniae
Women's Health,Dyspareunia,Dyspareunia
Central Nervous System,Neurodegenerative Diseases,Neurodegenerative Diseases
Central Nervous System,Chronic Traumatic Encephalopathy,Chronic Traumatic Encephalopathy
Central Nervous System,Ostealgia,Ostealgia
Central Nervous System,Dystonia,Dystonia
Central Nervous System,Flaccid Paralysis,Flaccid Paralysis
Central Nervous System,Neuropathy,Neuropathy
Central Nervous System,Multi-Infarct Dementia,Multi-Infarct Dementia
Ear Nose Throat Disorders,Eustachian Tube Congestion,Eustachian Tube Congestion
Gastrointestinal,Alcoholic Fatty Liver Disease,Alcoholic Fatty Liver Disease
Dermatology,Urticaria Pigmentosa,Urticaria Pigmentosa
Ear Nose Throat Disorders,Otosclerosis,Otosclerosis
Gastrointestinal,Chronic Gastric Injury,Chronic Gastric Injury
Dermatology,Neurotrophic Leg Ulcers,Neurotrophic Leg Ulcers
Immunology,Primary Humoral Immune Deficiencies,Primary Humoral Immune Deficiencies
Hematological Disorders,Erythroblastopenia,Erythroblastopenia
Infectious Disease,Severe Acute Respiratory Syndrome,Severe Acute Respiratory Syndrome
Male Health,Testicular Diseases,Testicular Diseases
Infectious Disease,Typhus Fever,Typhus Fever
Infectious Disease,Q Fever,Q Fever
Infectious Disease,Tularaemia,Tularaemia
Metabolic Disorders,Pre-Diabetes/Impaired Glucose Tolerance,Pre-Diabetes/Impaired Glucose Tolerance
Ophthalmology,Retinitis Pigmentosa,Retinitis Pigmentosa
Ophthalmology,Vision Disorders,Vision Disorders
Metabolic Disorders,Diabetic Foot Ulcers,Diabetic Foot Ulcers
Ophthalmology,Optic Neuropathy,Optic Neuropathy
Cardiovascular,Regurgitation,Regurgitation
Cardiovascular,Prinzmetal Angina,Prinzmetal Angina
Oncology,Bone Cancer,Bone Cancer
Respiratory,Fungal Respiratory Tract Infections,Fungal Respiratory Tract Infections
Cardiovascular,Cerebral Venous Sinus Thrombosis,Cerebral Venous Sinus Thrombosis
Cardiovascular,Vascular Dysfunction,Vascular Dysfunction
Central Nervous System,Senile Dementia,Senile Dementia
Central Nervous System,Intracerebral Hemorrhage,Intracerebral Hemorrhage
Central Nervous System,Hemiplegic Migraine,Hemiplegic Migraine
Ear Nose Throat Disorders,Chronic Infective Rhinitis,Chronic Infective Rhinitis
Genito Urinary System And Sex Hormones,Acute Urethral Discomfort,Acute Urethral Discomfort
Genito Urinary System And Sex Hormones,Hematuria,Hematuria
Nutritional Disorders,Vitamin C Deficiency Disorders,Vitamin C Deficiency Disorders
Oncology,AIDS - Related Cancer,AIDS - Related Cancer
Respiratory,Pleurisy,Pleurisy
Hormonal Disorders,Dwarfism,Dwarfism
Immunology,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis,Anti-Neutrophil Cytoplasmic Antibody-Associated Vasculitis
Dermatology,Perioral Dermatitis,Perioral Dermatitis
Musculoskeletal Disorders,Degenerative Disc Disease,Degenerative Disc Disease
Oncology,Dermatofibrosarcoma Protuberans,Dermatofibrosarcoma Protuberans
Infectious Disease,Peritonsillar Abscess,Peritonsillar Abscess
Metabolic Disorders,Insulin Resistance,Insulin Resistance
Cardiovascular,Portal Hypertension,Portal Hypertension
Central Nervous System,Infectious Encephalitis,Infectious Encephalitis
Central Nervous System,Neuropathic Arthropathy,Neuropathic Arthropathy
Gastrointestinal,Mucositis,Mucositis
Oncology,Ductal Carcinoma In Situ,Ductal Carcinoma In Situ
Cardiovascular,Artery Stenosis,Artery Stenosis
Genito Urinary System And Sex Hormones,Membranoproliferative Glomerulonephritis,Membranoproliferative Glomerulonephritis
Gastrointestinal,Biliary Atresia,Biliary Atresia
Infectious Disease,Progressive Multifocal Leukoencephalopathy,Progressive Multifocal Leukoencephalopathy
Metabolic Disorders,Hyperbilirubinemia,Hyperbilirubinemia
Respiratory,Obstructive Sleep Apnea,Obstructive Sleep Apnea
Infectious Disease,Cryptosporidiosis,Cryptosporidiosis
Immunology,Blood Plasma Hypersensitivity,Blood Plasma Hypersensitivity
Immunology,Cat Allergy,Cat Allergy
Immunology,Animal Allergy,Animal Allergy
Infectious Disease,HIV-Associated Lipodystrophy Syndrome,HIV-Associated Lipodystrophy Syndrome
Infectious Disease,Cystic Echinococcosis,Cystic Echinococcosis
Oncology,Refractory Anemia,Refractory Anemia
Metabolic Disorders,Lipodystrophy,Lipodystrophy
Oncology,Natural Killer Cell Lymphomas,Natural Killer Cell Lymphomas
Metabolic Disorders,Mitochondrial Diseases,Mitochondrial Diseases
