Congress,TA,Indication,Top,Country,City,StartDate,EndDate,Cost,GoogleHits,USEU
"Basic Life Support (BLS) HeartCode (online) - Richmond (Jan 10, 2020)",Cardiology,NA,0,United States of America,"Richmond, Virginia",10-01-2020,NA,-,7,0
"Basic Life Support (BLS) Provider Certification Course by Lifesaver Education (Jan 02, 2020)",Cardiology,NA,0,United States of America,"South Pasadena, California",02-01-2020,NA,-,42900,0
Basic Surgical Retina,Ophthalmology,NA,0,Switzerland,"Lugano, Ticino",30-03-2020,03-04-2020,-,45800000,1
Basic Urodynamics Course 2020,Genito Urinary System And Sex Hormones,NA,0,United Kingdom,"Bristol, England",18-03-2020,19-03-2020,-,54300,1
Best of Oncology West 2020,Oncology,NA,0,Canada,"Vancouver, British Columbia",24-01-2020,NA,-,7090000,0
Best of San Antonio Breast Cancer Symposium (SABCS) 2020,Oncology,Breast Cancer,0,Canada,"Toronto, Ontario",17-01-2020,NA,-,21000,0
Beyond a Million Genomes: From Discovery to Precision Health (A4),Genetic Disorders,NA,0,United States Of America,"Breckenridge, Colorado",21-01-2020,25-01-2020,1045,954000,1
Biology of Acute Respiratory Infection Gordon Research Conference (GRC) 2020,Respiratory,NA,1,United States of America,"Galveston, Texas",16-02-2020,21-02-2020,-,25000,1
Biology of Host-Parasite Interactions Gordon Research Conference (GRC) 2020,Infectious Disease,NA,0,United States Of America,"Newport, Rhode Island",14-06-2020,19-06-2020,-,12500,1
Biology of Spirochetes Gordon Research Conference (GRC) 2020,Infectious Disease,NA,0,Italy,"Lucca, Tuscany",29-03-2020,03-04-2020,-,788,1
Biology of Spirochetes Gordon Research Seminar (GRS) 2020,Infectious Disease,NA,0,Italy,"Lucca, Tuscany",28-03-2020,29-03-2020,-,3190,1
Bladder Cancer Symposium: Update on Medical and Surgical Management for the Urologist,Genito Urinary System And Sex Hormones,Bladder Cancer,1,United States of America,"New York City, New York",24-04-2020,NA,319,1570000,1
Bobath Introductory Module 3 - The Integration of Postural Control and Selective Movement for Functional Activities (part B),Neurology,NA,0,United Kingdom,"Derby, England",16-01-2020,17-01-2020,-,23600,1
Bobath Module 3 - Assessment & treatment of adults with neurological conditions: the patient with established movement dysfunction 2020 by NCORE,Neurology,NA,0,United Kingdom,"Derby, England",16-01-2020,17-01-2020,-,69800,1
Bones and Teeth Gordon Research Conference (GRC) 2020,Musculoskeletal Disorders,NA,0,United States Of America,"Galveston, Texas",02-02-2020,07-02-2020,-,83100,1
Bones and Teeth Gordon Research Seminar (GRS) 2020,Musculoskeletal Disorders,NA,0,United States Of America,"Galveston, Texas",01-02-2020,02-02-2020,-,28900,1
Boomer Dentistry AND Managing Implant Mucositis versus Peri-Implantitis 2020,Gastrointestinal,Mucositis,0,United States Of America,"Gainesville, Florida",20-11-2020,NA,449,6,1
"Botox and Dermal Filler Training Live FAST TRACK blended Online Live Hands-On 10 CME Credits - Portland, OR. January 2020 by PracticalCME Medical Training",Internal Medicine,NA,0,United States of America,"Lake Oswego, Oregon",17-01-2020,NA,-,5,1
Botox and Dermal Fillers FAST TRACK Online Live Hands-On Training - Los Angeles by PracticalCME Medical Training,Internal Medicine,NA,0,United States of America,"Los Angeles, California",22-02-2020,NA,-,8,1
"Botox and Dermal Fillers FAST TRACK Training with Hands-On by PracticalCME, LLC - Orlando, FL",Internal Medicine,NA,0,United States of America,"Orlando, Florida",25-01-2020,NA,-,7,1
"Botox Certificate Workshop and Ultrasound Guided Orthopedic Injection Workshop (Apr 24 - 25, 2020)",Rheumatology,NA,0,United States Of America,"Hilton Head Island, South Carolina",24-04-2020,25-04-2020,1199.98,175000,1
Brain Metastases 2020,Oncology,NA,0,United States Of America,"Santa Monica, California",07-11-2020,08-11-2020,-,3040000,1
Brain metastases course by The British Institute of Radiology (BIR),Oncology,NA,0,United Kingdom,"London, England",27-03-2020,NA,-,148000,1
Breast and Body Imaging at the Beach 2020,Oncology,NA,0,Costa Rica,"Papagayo Peninsula, Guanacaste",05-01-2020,10-01-2020,1350,1530000,0
Breast Cancer Conference 2020,Oncology,Breast Cancer,0,United Arab Emirates,"Dubai, Dubai",18-03-2020,19-03-2020,599,3.40E+07,0
Breast Tomosynthesis Masterclass Workshop,Oncology,NA,0,Australia,"Sydney, New South Wales",04-07-2020,NA,670,55000,0
British Association for Sexual Health and HIV (BASHH) Annual Conference 2020,Infectious Disease,NA,0,United Kingdom,"Bournemouth, England",07-06-2020,09-06-2020,-,30800,1
British Association of Urological Surgeons (BAUS) Annual Scientific Meeting 2020,Genito Urinary System And Sex Hormones,NA,0,United Kingdom,"Birmingham, England",15-06-2020,17-06-2020,-,14400,1
British Cardiovascular Society (BCS) Annual Conference 2020,Cardiology,Cardiovascular,1,United Kingdom,"Manchester, England",01-06-2020,03-06-2020,-,3.00E+05,1
British Neuroradiology Workshop for Radiologists,Neurology,NA,0,United Arab Emirates,"Dubai, Dubai",17-01-2020,NA,-,137000,0
British Society for Rheumatology (BSR) Annual Conference 2020,Rheumatology,NA,0,United Kingdom,"Glasgow, Scotland",20-04-2020,22-04-2020,-,19500,1
British Society of Urogenital Radiology (BSUR) Annual Scientific Meeting 2020,Genito Urinary System And Sex Hormones,NA,1,United Kingdom,"Cambridge, England",24-03-2020,27-03-2020,-,447000,1
BritMODIS and BGS MDS Research Meeting 2020,Neurology,NA,0,United Kingdom,"Birmingham, England",30-01-2020,31-01-2020,-,51,1
Building Better Balance Course - Chicago,Neurology,NA,0,United States Of America,"Chicago, Illinois",22-02-2020,23-02-2020,575,97300000,1
Building Better Balance Course - Philadelphia,Neurology,NA,0,United States of America,"Philadelphia, Pennsylvania",05-12-2020,06-12-2020,575,42400000,1
Building Better Balance Course - Portland,Neurology,NA,0,United States Of America,"Portland, Oregon",07-11-2020,08-11-2020,575,2.10E+07,1
Building Better Balance Course - San Jose,Neurology,NA,0,United States of America,"San Jose, California",25-04-2020,26-04-2020,575,29500000,1
Building Better Balance Course - Trenton,Neurology,NA,0,United States of America,"Trenton, New Jersey",18-01-2020,19-01-2020,575,5360000,1
Building Better Balance Course - Virginia Beach,Neurology,NA,0,United States of America,"Virginia Beach, Virginia",06-06-2020,07-06-2020,575,13600000,1
Building on the Skills and Knowledge of Enteral Nutrition 2020,Gastrointestinal,NA,0,United Kingdom,"Derby, England",12-03-2020,NA,-,269000,1
Bulgarian Society for Dermatologic Surgery - Annual National Conference,Dermatology,NA,0,NA,NA,NA,NA,-,5,0
Cadaveric Musculoskeletal Interventional Course (Stream 1: Ultrasound) 2020,Musculoskeletal Disorders,NA,0,United Kingdom,"Shropshire, England",05-06-2020,06-06-2020,-,38100,1
California Society of Dermatology and Dermatologic Surgery - CalDerm Symposium 2020,Dermatology,Dermatology,0,United States of America,"Carlsbad, California",25-09-2020,27-09-2020,-,338,1
California Society of Pathologists (CSP) 73rd Annual Meeting,Pathology,NA,0,United States Of America,"San Francisco, California",01-12-2020,05-12-2020,-,9930,1
Canadian Association for HIV Research (CAHR) Annual Conference 2020,Infectious Disease,NA,0,Canada,"Quebec City, Quebec",30-04-2020,03-05-2020,-,24400,0
Canadian Association of Medical Oncologists (CAMO) 2020 Annual Scientific Meeting (ASM),Oncology,NA,0,Canada,"Toronto, Ontario",30-04-2020,NA,-,7,0
Canadian Association of Pathologists (CAP) / Association canadienne des pathologistes (ACP) Annual Meeting 2020,Pathology,NA,0,Canada,"Halifax, Nova Scotia",06-06-2020,09-06-2020,-,1700,0
Canadian College of Medical Geneticists (CCMG) 44th Annual Scientific Meeting,Genetic Disorders,NA,0,Canada,"Winnipeg, Manitoba",16-06-2020,20-06-2020,-,3390,0
Canadian Coronary Physiology and Invasive Imaging Symposium CPI 2020,Cardiology,NA,0,Canada,"Dorval, Quebec",04-02-2020,05-02-2020,-,62400,0
Canadian Dermatology Association (CDA) / Association canadienne de dermatologie (ACD) 95th Annual Conference,Dermatology,Dermatology,0,Canada,"Ottawa, Ontario",24-06-2020,27-06-2020,-,1210,0
Canadian Digestive Diseases Week (CDDW) 2020,Gastrointestinal,NA,0,Canada,"Montreal, Quebec",28-02-2020,01-03-2020,350,1980,0
Canadian Glaucoma Society Annual Meeting 2020,Ophthalmology,Glaucoma,0,Canada,"Montreal, Quebec",27-03-2020,28-03-2020,-,338000,0
Canadian Neurological Sciences Fedaration (CNSF) 55th Congress,Neurology,NA,0,Canada,"Banff, Alberta",07-06-2020,10-06-2020,-,3480,0
Canadian Pain Society (CPS) 41st Annual Scientific Meeting,Neurology,Pain,0,Canada,"Calgary, Alberta",19-05-2020,22-05-2020,-,29600,0
Canadian Respiratory Conference 2020,Respiratory,NA,0,Canada,"Niagara Falls, Ontario",16-04-2020,18-04-2020,-,4060000,0
Canadian Society for Transfusion Medicine (CSTM) 2020 Conference,Pathology,NA,0,Canada,"Montreal, Quebec",28-05-2020,31-05-2020,-,25300,0
Canadian Urological Association (CUA) 75th Annual Meeting,Genito Urinary System And Sex Hormones,NA,0,Canada,"Victoria, British Columbia",27-06-2020,30-06-2020,-,78800,0
Cancer Drug Development Forum (CDDF) Spring Conference 2020,Oncology,NA,0,Netherlands,"Noordwijk, South Holland",10-02-2020,12-02-2020,-,12300,1
Cancer Epigenetics: New Mechanisms and Therapeutic Opportunities (J4),Oncology,NA,0,United States of America,"Keystone, Colorado",26-01-2020,30-01-2020,1045,22900,1
Cancer Evolution and Combinatorial Cancer Therapies: Concepts and Challenges (L1),Oncology,NA,0,Canada,"Banff, Alberta",19-01-2020,23-01-2020,1145,2.00E+06,0
Cancer Genetics 2020 Conference,Oncology,NA,1,United States Of America,"Chicago, Illinois",17-04-2020,19-04-2020,-,12400000,1
Cancer Research and Therapy Conference,Oncology,NA,0,NA,NA,NA,NA,-,1.07E+08,0
Cancer Survivorship Symposium: Advancing Care and Research,Oncology,NA,0,NA,NA,NA,NA,-,1380000,0
Candida and Candidiasis 2020,Infectious Disease,Candidiasis,0,Canada,"Montreal, Quebec",19-04-2020,23-04-2020,-,184000,0
Cardiac Arrhythmias,Cardiology,Arrhythmias,0,United States of America,"Minneapolis, Minnesota",10-04-2020,NA,-,8660000,1
"Cardiac CT course Dubai, Level 1 & 2",Cardiology,NA,0,United Arab Emirates,"Dubai, Dubai",11-04-2020,15-04-2020,-,5930000,0
Cardiac CT Practicum: The Total Experience (Apr 2019),Cardiology,NA,0,United States of America,"Baltimore, Maryland",13-04-2020,17-04-2020,-,121000,1
"Cardiac CT Practicum: The Total Experience (Feb 10 - 14, 2020)",Cardiology,NA,0,United States of America,"Baltimore, Maryland",10-02-2020,14-02-2020,6395,101000,1
"Cardiac CT Practicum: The Total Experience (Jun 08 - 12, 2020)",Cardiology,NA,0,United States of America,"Baltimore, Maryland",08-06-2020,12-06-2020,-,328000,1
"Cardiac CT Practicum: The Total Experience (Jun 15 - 19, 2020)",Cardiology,NA,0,United States of America,"Baltimore, Maryland",15-06-2020,19-06-2020,-,1260000,1
"Cardiac CT Practicum: The Total Experience (Mar 09 - 13, 2020)",Cardiology,NA,0,United States of America,"Baltimore, Maryland",09-03-2020,13-03-2020,-,1140000,1
"Cardiac CT Practicum: The Total Experience (May 04 - 08, 2020)",Cardiology,NA,0,United States of America,"Baltimore, Maryland",04-05-2020,08-05-2020,-,67900,1
"Cardiac CT Practicum: The Total Experience (May 18 - 22, 2020)",Cardiology,NA,0,United States of America,"Baltimore, Maryland",18-05-2020,22-05-2020,-,301000,1
Cardiac Disease and Anaesthesia Symposium 2020,Cardiology,NA,0,United Kingdom,"London, England",23-04-2020,24-04-2020,-,2260000,1
Cardiac Nursing Seminar (Module 1&2) - Cairns,Cardiology,NA,0,Australia,"Cairns, Queensland",12-03-2020,13-03-2020,495,3.00E+06,0
Cardiac Nursing Seminar (Module 1&2) - Sydney,Cardiology,NA,0,Australia,"Sydney, New South Wales",25-06-2020,26-06-2020,495,3.00E+06,0
Cardiac Nursing Seminar (Module 1&2) - Toowoomba,Cardiology,NA,0,Australia,"Toowoomba, Queensland",07-05-2020,08-05-2020,495,3.00E+06,0
Cardiac Regulatory Mechanisms Gordon Research Conference (GRC) 2020,Cardiology,NA,0,United States Of America,"New London, New Hampshire",21-06-2020,26-06-2020,-,42900,1
Cardiac Regulatory Mechanisms Gordon Research Seminar (GRS) 2020,Cardiology,NA,0,United States Of America,"New London, New Hampshire",20-06-2020,21-06-2020,-,42000,1
Cardiac Rehabilitation Workshop: The Mayo Clinic Model,Cardiology,NA,0,United States of America,"Rochester, Minnesota",24-03-2020,26-03-2020,1500,2330000,1
"Cardiac Rhythm Device Summit: Implantation, Management, and Follow-Up 2020",Cardiology,NA,0,United States Of America,"New York City, New York",18-06-2020,20-06-2020,-,203000,1
Cardio-Oncology: Practical Strategies to Advance your Practice 2020,Oncology,NA,0,United States of America,"Scottsdale, Arizona",13-02-2020,15-02-2020,825,2800000,1
Cardiology & Medico-Legal Update 2020,Cardiology,NA,0,Argentina,"Buenos Aires, Buenos Aires",16-02-2020,01-03-2020,1695,1.09E+08,0
"Cardiology & Pulmonology for Primary Care (Apr 17 - 19, 2020)",Cardiology,NA,0,United States of America,"Las Vegas, Nevada",17-04-2020,19-04-2020,895,1.05E+08,1
"Cardiology & Pulmonology for Primary Care (Aug 13 - 16, 2020)",Cardiology,NA,0,United States of America,"Hilton Head Island, South Carolina",13-08-2020,16-08-2020,1095,1.06E+08,1
"Cardiology & Pulmonology for Primary Care (Dec 11 - 13, 2020)",Cardiology,NA,0,United States Of America,"Asheville, North Carolina",11-12-2020,13-12-2020,795,1.05E+08,1
"Cardiology & Pulmonology for Primary Care (Jul 03 - 05, 2020)",Cardiology,NA,0,United States of America,"Yosemite National Park, California",03-07-2020,05-07-2020,895,1.05E+08,1
"Cardiology & Pulmonology for Primary Care (Jun 26 - 28, 2020)",Cardiology,NA,0,United States of America,"Tenton Village, Wyoming",26-06-2020,28-06-2020,895,1.05E+08,1
"Cardiology & Pulmonology for Primary Care (Nov 13 - 15, 2020)",Cardiology,NA,0,United States of America,"Scottsdale, Arizona",13-11-2020,15-11-2020,895,1.05E+08,1
"Cardiology & Pulmonology for Primary Care (Sep 04 - 06, 2020)",Cardiology,NA,0,United States of America,"Santa Fe, New Mexico",04-09-2020,06-09-2020,895,1.05E+08,1
"Cardiology & Pulmonology for Primary Care Conference (Mar 06 - 08, 2020)",Cardiology,NA,0,United States of America,"Bay Lake, Florida",06-03-2020,08-03-2020,895,1.05E+08,1
Cardiology and Geriatrics Conference 2020,Cardiology,NA,0,Denmark,"Copenhagen, Copenhagen (Hovedstaden)",18-06-2020,28-06-2020,895,544000,1
Cardiology and Pharmacology for Primary Care Course,Cardiology,NA,0,United States Of America,"Sedona, Arizona",06-03-2020,08-03-2020,-,7240000,1
Cardiology at Cancun: Topics in Clinical Cardiology 2020,Cardiology,NA,0,Mexico,"Cancun, Quintana Roo",24-02-2020,28-02-2020,880,236000,0
"Cardiology Essentials and Case Studies Co-Provided with School of Medicine, SUNY at Stony Brook 2020",Cardiology,NA,0,Spain,"Barcelona, Catalonia",11-10-2020,18-10-2020,-,850000,1
Cardiology For Primary Care And Hospital Medicine 2020,Internal Medicine,NA,1,United States of America,"Longboat Key, Florida",20-04-2020,24-04-2020,949,6960000,1
Cardiology Update at Puerto Vallarta: A Focus on Prevention 2020,Cardiology,NA,0,Mexico,"Puerto Vallarta, Jalisco",06-01-2020,10-01-2020,975,139000,0
Cardiology Update Course by UWSOM,Cardiology,NA,0,United States of America,"Seattle, Washington",27-04-2020,28-04-2020,-,6060000,1
Cardiology Update: The Heart of the Matter 2020,Cardiology,NA,0,United States Of America,"Sedona, Arizona",30-07-2020,02-08-2020,-,4100000,1
Cardiology Updates Anaheim 2020,Cardiology,NA,0,United States Of America,"Anaheim, California",05-05-2020,NA,-,531000,1
Cardiology Updates Fort Lauderdale 2020,Cardiology,NA,0,United States Of America,"Fort Lauderdale, Florida",05-02-2020,NA,-,292000,1
"Cardiology, Diabetes & Nephrology at the Limits (Jul 17 - 18, 2020)",Metabolic Disorders,Diabetes,0,Brazil,"Sao Paulo, Sao Paulo",17-07-2020,18-07-2020,-,57900000,0
"Cardiology, Diabetes & Nephrology at the Limits 2020",Metabolic Disorders,Diabetes,0,United Kingdom,"London, England",20-04-2020,22-04-2020,-,57900000,1
"Cardiology, Preventive Cardiology, and Pain Management",Cardiology,Pain,0,United States of America,"Seattle, Washington",21-08-2020,28-08-2020,-,99800000,1
"Cardiopulmonary Resuscitation (CPR), Automated External Defibrillator (AED), and Basic First Aid Course (Jan 10, 2020)",Cardiology,NA,0,United States of America,"Laguna Hills, California",10-01-2020,NA,-,33300,1
Cardiovascular and Interventional Radiological Society of Europe (CIRSE) 2020,Cardiology,Cardiovascular,0,Germany,"Munich, Bavaria",12-09-2020,16-09-2020,-,9180,1
Cardiovascular Board Review for Initial Certification and Recertification (CVBR) 2020,Cardiology,Cardiovascular,0,United States Of America,"Rochester, Minnesota",22-08-2020,27-08-2020,-,9,1
Cardiovascular Conference at Snowbird 2020,Cardiology,Cardiovascular,0,United States of America,"Snowbird, Utah",05-02-2020,08-02-2020,-,27700,1
Cardiovascular Disease and Global Health Equity Conference,Cardiology,Cardiovascular Disease,0,United States of America,"Boston, Massachusetts",29-02-2020,01-03-2020,-,17900000,1
Cardiovascular Institute (CVI) of Philadelphia 4th Annual Interventional Cardiology Fellows Program,Cardiology,Cardiovascular,0,United States of America,"Philadelphia, Pennsylvania",24-01-2020,25-01-2020,-,20100,1
Cardiovascular Research Technologies (CRT) Conference 2020,Cardiology,Cardiovascular,0,United States Of America,"Prince Georges, Maryland",22-02-2020,25-02-2020,-,375000,1
Cardiovascular with CT-Correlation 2020,Cardiology,Cardiovascular,0,Austria,"Innsbruck, Tyrol",17-01-2020,18-01-2020,-,743000,1
Care of Cardiovascular Conditions Course by AAFP,Cardiology,Cardiovascular,0,United States Of America,"Providence, Rhode Island",15-07-2020,18-07-2020,-,207000,1
"Cases in Echocardiography, Cardiac CT, and MRI Course 2020",Cardiology,NA,0,United States Of America,"Napa, California",21-10-2020,24-10-2020,-,553000,1
CCLG Winter Meeting 2020,Oncology,NA,0,United Kingdom,"Nottingham, England",27-01-2020,28-01-2020,-,36300,1
